VOLTAGE,CURRENT,PF,PowerConsumption_Zone1,WEEKEND/WEEKDAY,SEASON,Temp_(F),Humidity_(%),Datetime,hour,day,month,dayofweek,quarter,is_weekend,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,power_roll_mean_24,power_roll_std_24,power_roll_max_24,power_roll_min_24,power_lag_1,power_lag_24,power_lag_168,power_diff_1,power_diff_24,LSTM_Prediction,Actual_Power
11.6,58,0.96,1118.710832,0,0,76,93,2021-10-21 20:00:00,20,21,10,3,4,0,-0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1676.8754630708336,488.19372100581654,2350.489941,913.5459497,1176.575185,1118.627694,1128.188614,-57.86435299999994,0.08313799999996263,937.4864,1118.710832
11.6,56,0.96,1080.134596,0,0,73,91,2021-10-21 21:00:00,21,21,10,3,4,0,-0.7071067811865477,0.7071067811865474,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1676.8252335708332,488.25771661817106,2350.489941,913.5459497,1118.710832,1081.340104,1070.823091,-38.57623599999988,-1.205508000000009,906.5603,1080.134596
11.6,53,0.96,1022.270243,0,0,73,91,2021-10-21 22:00:00,22,21,10,3,4,0,-0.5000000000000004,0.8660254037844384,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1677.4712885291665,487.3419543225037,2350.489941,913.5459497,1080.134596,1006.764924,1032.579409,-57.86435300000005,15.5053190000001,917.198,1022.2702429999999
11.6,50,0.96,964.4058897,0,0,73,91,2021-10-21 23:00:00,23,21,10,3,4,0,-0.25881904510252157,0.9659258262890681,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1679.5904526958336,483.9746089875032,2350.489941,964.4058897,1022.270243,913.5459497,956.0920458,-57.86435330000006,50.85993999999994,958.46,964.4058897
11.4,57,0.965,1086.094583,0,0,76,74,2021-10-22 00:00:00,0,22,10,4,4,0,0.0,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1667.1878863625,495.56074383831736,2350.489941,964.4058897,964.4058897,1383.756175,2274.667685,121.68869330000007,-297.6615919999999,1029.596,1086.094583
11.4,57,0.965,1086.094583,0,0,76,74,2021-10-22 01:00:00,1,22,10,4,4,0,0.25881904510252074,0.9659258262890683,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1654.7853200291668,506.56535239744915,2350.489941,964.4058897,1086.094583,1383.756175,2274.667685,0.0,-297.6615919999999,1094.1799,1086.094583
11.4,57,0.965,1086.094583,0,0,76,74,2021-10-22 02:00:00,2,22,10,4,4,0,0.49999999999999994,0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1642.3827536958333,517.0255684127263,2350.489941,964.4058897,1086.094583,1383.756175,2274.667685,0.0,-297.6615919999999,1068.2277,1086.094583
11.4,57,0.965,1086.094583,0,0,87,39,2021-10-22 03:00:00,3,22,10,4,4,0,0.7071067811865476,0.7071067811865476,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1629.9801873625001,526.9738107937048,2350.489941,964.4058897,1086.094583,1383.756175,2254.714459,0.0,-297.6615919999999,1117.9883,1086.094583
11.3,57,0.965,1076.567438,0,0,87,39,2021-10-22 04:00:00,4,22,10,4,4,0,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1617.6864154875002,536.6165939747971,2350.489941,964.4058897,1086.094583,1371.617963,2254.714459,-9.527145000000019,-295.0505249999999,1179.7096,1076.567438
11.3,62,0.965,1171.003178,0,0,87,39,2021-10-22 05:00:00,5,22,10,4,4,0,0.9659258262890683,0.25881904510252074,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1609.3274661125,542.1502594492567,2350.489941,964.4058897,1076.567438,1371.617963,2498.975192,94.4357399999999,-200.61478499999998,1234.1154,1171.003178
11.3,74,0.965,1397.648954,0,0,90,29,2021-10-22 06:00:00,6,22,10,4,4,0,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1598.2461658625,543.7084404868764,2350.489941,964.4058897,1171.003178,1663.60016,3041.20409,226.64577600000007,-265.95120599999996,1380.6431,1397.648954
11.3,74,0.965,1397.648954,0,0,90,29,2021-10-22 07:00:00,7,22,10,4,4,0,0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1575.844181529167,540.2827704621017,2350.489941,964.4058897,1397.648954,1935.296578,2989.658258,0.0,-537.647624,1556.5833,1397.648954
